,ref_number,recipient_legal_name,recipient_city,prog_name_en,prog_purpose_en,agreement_title_en,agreement_number,agreement_value,agreement_start_date,agreement_end_date,description_en,expected_results_en,additional_information_en,owner_org_title
357243,GC-WD-DEO-2016-2017-Q3-00100,Nisichawayasihk Cree Nation|Nation des Cris de Nisichawayasihk,"Nelson House, MB",,Construct a powwow arbour at the community park in Nisichawayasihk Cree Nation,,14011,189655,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357244,GC-WD-DEO-2016-2017-Q3-00101,"La Loche Sport, Recreation and Culture Board","La Loche, SK",,Install a splash park in the Village of La Loche,,14163,91196,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357245,GC-WD-DEO-2016-2017-Q3-00103,City of Surrey|Ville de Surrey,"Surrey, BC|Surrey, C.-B.",,Upgrade Surrey Nature Centre main building washrooms and install HVAC,,14268,57662,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357246,GC-WD-DEO-2016-2017-Q3-00104,The Nanaimo Curling Club|Club de curling de Nanaimo,"Nanaimo, BC|Nanaimo, C.-B.",,Upgrade equipment and lighting at the Nanaimo Curling Club,,14271,54573,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357247,GC-WD-DEO-2016-2017-Q3-00105,Town of Pilot Butte|Municipalité de Pilot Butte,"Pilot Butte, SK",,Upgrade the arena in the Town of Pilot Butte,,14214,61308,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357248,GC-WD-DEO-2016-2017-Q3-00106,Gibsons Community Building Society,"Gibsons, BC|Gibsons, C.-B.",,Upgrade Gibson's public market with a community marine centre and recreation space,,14051,359715,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357249,GC-WD-DEO-2016-2017-Q3-00107,Town of Swan River|Municipalité de Swan River,"Swan River, MB",,Upgrade the Swan Valley Aquatic Centre in Swan River,,14168,85100,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357250,GC-WD-DEO-2016-2017-Q3-00108,Saskatchewan Cattlemen's Association,"Regina, SK",,Support the development of the Livestock and Forage Centre of Excellence in Saskatoon,,13878,4470000,10/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357251,GC-WD-DEO-2016-2017-Q4-00152,Meewasin Valley Authority,"Saskatoon, SK",,Upgrade the Meewasin Trail in Saskatoon,,14227,250000,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357252,GC-WD-DEO-2016-2017-Q3-00109,Spruce Avenue Community League,"Edmonton, AB",,Upgrade the Spruce Avenue Community League outdoor rink in Edmonton,,13923,28493,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357253,GC-WD-DEO-2016-2017-Q3-00110,Town of Beaverlodge|Municipalité de Beaverlodge,"Beaverlodge, AB",,Renovate the indoor pool in Town of Beaverlodge,,13965,76658,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357254,GC-WD-DEO-2016-2017-Q3-00111,Delburne Curling Club Society,"Delburne, AB",,Upgrade the curling rink in Delburne,,14152,81905,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357255,GC-WD-DEO-2016-2017-Q3-00112,AbCellera Biologics Inc.,"Vancouver, BC|Vancouver, C.-B.",,Commercialize a process for accelerating the validation of antibodies,,13799,1750000,9/14/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357256,GC-WD-DEO-2016-2017-Q3-00113,City of Surrey|Ville de Surrey,"Surrey, BC|Surrey, C.-B.",,Upgrade the Holly outdoor pool in Surrey,,14267,82500,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357257,GC-WD-DEO-2016-2017-Q3-00114,Town of Lac Du Bonnet|Municipalité de Lac Du Bonnet,"Lac Du Bonnet, MB",,Upgrade Lac du Bonnet & District Sports Arena,,14183,135400,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357258,GC-WD-DEO-2016-2017-Q3-00115,Town of Pincher Creek|Municipalité de Pincher Creek,"Pincher Creek, AB",,Enhance the Pincher Creek Multi-Purpose Facility through addition of spray park,,14014,463000,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357259,GC-WD-DEO-2016-2017-Q3-00116,Calgary Public Library Foundation / Calgary Public Library Board|Fondation de la bibliothèque publique de Calgary / Conseil d'administration de la bibliothèque publique de Calgary,"Calgary, AB",,Develop a nature playground at Forest Lawn Library,,14199,119000,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357260,GC-WD-DEO-2016-2017-Q3-00117,Town of High Level|Municipalité de High Level,"High Level, AB",,Repair and upgrade Centennial Park in the Town of High Level,,14071,105780,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357261,GC-WD-DEO-2016-2017-Q3-00118,City of Langley|Ville de Langley,"Langley, BC|Langley, C.-B.",,Upgrade Penzer Park in Langley,,13907,500000,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357262,GC-WD-DEO-2016-2017-Q3-00119,Fort Vermilion Recreation Board and Mackenzie County|Commission des loisirs de Fort Vermilion,"Fort Vermilion, AB",,Replace the ice plant at the arena in Fort Vermilion,,13961,469174,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357263,GC-WD-DEO-2016-2017-Q3-00120,City of Winkler|Municipalité de Winkler,"Winkler, MB",,Upgrade the Winkler Recreational Complex,,14063,50518,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357264,GC-WD-DEO-2016-2017-Q3-00122,Victoria Native Friendship Centre,"Victoria, BC|Victoria, C.-B.",,Renovate the Victoria Native Friendship Centre,,14057,264976,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357265,GC-WD-DEO-2016-2017-Q3-00123,City of Surrey|Ville de Surrey,"Surrey, BC|Surrey, C.-B.",,Upgrade the Hjorth Road outdoor pool in Surrey,,14264,100000,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357266,GC-WD-DEO-2016-2017-Q3-00124,City of Surrey|Ville de Surrey,"Surrey, BC|Surrey, C.-B.",,Upgrade the Unwin outdoor pool in Surrey,,14265,82500,11/17/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357267,GC-WD-DEO-2016-2017-Q3-00125,Edmonton Rowing Club|Club d'aviron d'Edmonton,"Edmonton, AB",,Upgrade Edmonton Rowing Club facilities,,14266,36585,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357268,GC-WD-DEO-2016-2017-Q3-00126,University of Lethbridge|Université de Lethbridge,"Lethbridge, AB",,Upgrade the Max Bell Regional Aquatic Centre at the University of Lethbridge,,13890,180000,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357269,GC-WD-DEO-2016-2017-Q3-00127,Village of Consort|Village de Consort,"Consort, AB",,Upgrade the ice plant at the Consort Sportsplex,,14165,375000,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357270,GC-WD-DEO-2016-2017-Q3-00128,Rural Municipality of Headingley|Municipalité rurale d'Headingley,"Headingley, MB",,Install splash park at the Headingley Community Centre,,14112,400000,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357271,GC-WD-DEO-2016-2017-Q3-00129,Seabird Island Indian Band|Bande de Seabird Island,"Agassiz, BC|Agassiz, C.-B.",,Upgrade the Seabird Island Indian Band gymnasium in Agassiz,,13919,134150,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357272,GC-WD-DEO-2016-2017-Q3-00130,The Corporation of the City of White Rock|La Corporation de la ville de White Rock,"White Rock, BC|White Rock, C.-B.",,Upgrade Centennial Arena in White Rock,,13944,127500,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357273,GC-WD-DEO-2016-2017-Q3-00131,Rural Municipality of Wallace-Woodworth|Municipalité rurale de Wallace-Woodworth,"ELKHORN, MB",,Upgrade the wading pool in Elkhorn,,14219,50000,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357274,GC-WD-DEO-2016-2017-Q3-00132,Saltworks Technologies Inc.,"Richmond, BC|Richmond, C.-B.",,Commercialize the ElectroChem Advanced Desalination System,,13758,3500000,9/14/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357275,GC-WD-DEO-2016-2017-Q3-00133,The City of Red Deer|Municipalité de Red Deer,"Red Deer, AB",,Upgrade the Discovery Canyon Water Park in Red Deer,,14302,500000,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357276,GC-WD-DEO-2016-2017-Q3-00134,Complex Games Inc.,"Winnipeg, MB",,Develop a cutting-edge role playing video game for the digital market,,13763,1000000,9/14/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357277,GC-WD-DEO-2016-2017-Q3-00135,The Great GORP Project Inc.,"Niverville, MB",,Commercialize an energy bar ready mix process and expand exports to the United States,,13818,77500,9/14/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357278,GC-WD-DEO-2016-2017-Q3-00136,Town of St. Walburg|Municipalité de St. Walburg,"St Walburg, SK",,Replace the roof of the communiplex in the Town of St. Walburg,,14131,291500,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357279,GC-WD-DEO-2016-2017-Q3-00137,Rosenort Community Centre Inc.,"Rosenort, MB",,Upgrade the Rosenort Community Centre,,14146,30000,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357280,GC-WD-DEO-2016-2017-Q3-00138,City of Coquitlam|Ville de Coquitlam,"Coquitlam, BC|Coquitlam, C.-B.",,Upgrade the City of Coquitlam Mountain View Park sport and playground facilities,,13966,500000,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357281,GC-WD-DEO-2016-2017-Q3-00139,Town of Ponteix|Municipalité de Ponteix,"Ponteix, SK",,Upgrade the skating rink in Ponteix,,14153,44100,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357282,GC-WD-DEO-2016-2017-Q4-001,Independent Living Resource Centre Inc.,"Winnipeg, MB",,Deliver the Entrepreneurs with Disabilities Program,,6572,150000,3/30/17,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357283,GC-WD-DEO-2016-2017-Q4-002,White Horse Plains Community Futures Development Corporation|Société d'aide au développement des collectivités de White Horse Plains,"Elie, MB",,Support operational funding for community economic development and business services,,6190,291832,3/21/17,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357284,GC-WD-DEO-2016-2017-Q4-003,Community Futures Partners of Saskatchewan Inc.,"Saskatoon, SK",,Deliver the Entrepreneurs with Disabilities Program,,6619,100000,3/29/17,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357285,GC-WD-DEO-2016-2017-Q4-004,Community Futures Manitoba Inc.,"Winnipeg, MB",,Deliver the Entrepreneurs with Disabilities Program,,6563,100000,3/30/17,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357286,GC-WD-DEO-2016-2017-Q4-005,Kitayan Community Futures Development Corporation|Société d'aide au développement des collectivités de Kitayan,"Winnipeg, MB",,Support operational funding for community economic development and business services,,6180,344871,3/21/17,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357287,GC-WD-DEO-2016-2017-Q4-006,Community Futures Network of Alberta|Réseau des sociétés d'aide au développement des collectivités de l'Alberta,"Cochrane, AB",,Deliver the  Entrepreneurs with Disabilities Program,,5938,150000,3/29/17,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357288,GC-WD-DEO-2016-2017-Q4-0014,"Camp Health, Hope and Happiness Society","Seba Beach, AB",,Upgrade Camp He Ho Ha in Seba Beach,,13903,117459,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357289,GC-WD-DEO-2016-2017-Q4-007,Community Futures Development Association of B.C.|Association des sociétés d'aide au développement des collectivités de la C.-B.,"Mission, BC|Mission, C.-B.",,Deliver the Entrepreneurs with Disabilities Program,,6444,150000,3/30/17,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357290,GC-WD-DEO-2016-2017-Q4-008,Vancouver City Savings Credit Union,"Vancouver, BC|Vancouver, C.-B.",,Deliver the Entrepreneurs with Disabilities Program,,6599,150000,3/30/17,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357291,GC-WD-DEO-2016-2017-Q4-009,North Saskatchewan Independent Living Centre Inc.,"Saskatoon, SK",,Deliver the Entrepreneurs with Disabilities Program,,6617,150000,3/29/17,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357292,GC-WD-DEO-2016-2017-Q4-0010,Momentum Community Economic Development Society,"Calgary, AB",,Deliver the Entrepreneurs with Disabilities  Program,,5937,150000,3/29/17,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357293,GC-WD-DEO-2016-2017-Q4-0011,South Saskatchewan Independent Living Centre Inc.,"Regina, SK",,Deliver the Entrepreneurs with Disabilities Program,,6618,150000,3/29/17,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357294,GC-WD-DEO-2016-2017-Q4-0012,Distinctive Employment Counselling Services of Alberta,"Edmonton, AB",,Deliver the Entrepreneurs with Disabilities Program,,5936,150000,3/29/17,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357295,GC-WD-DEO-2016-2017-Q4-0013,"John Paul I, School Advisory Council Assn., ECSD & ECSD No.7","Edmonton, AB",,Replace basketball court and landscaping at John Paul I Park in Edmonton,,14296,76248,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357296,GC-WD-DEO-2016-2017-Q4-0016,Squamish-Lillooet Regional District|District régional de Squamish-Lillooet,"Pemberton, BC|Pemberton, C.-B.",,Renovate and expand the outdoor facilities at the Pemberton & District Community Centre,,13982,27036,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357297,GC-WD-DEO-2016-2017-Q4-0017,The City of Winnipeg|Ville de Winnipeg,"Winnipeg, MB",,Upgrade to the Taché Promenade Park in Saint-Boniface,,14202,500000,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357298,GC-WD-DEO-2016-2017-Q4-0018,A.S.T.C. Science World Society,"VANCOUVER, BC|VANCOUVER, C.-B.",,Repair and remediate the marine piles of Science World in Vancouver,,14304,478563,2/2/17,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357299,GC-WD-DEO-2016-2017-Q4-0019,Town of Waldheim|Municipalité de Waldheim,"Waldheim, SK",,Expand the park in the Town of Waldheim,,14206,53100,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357300,GC-WD-DEO-2016-2017-Q4-0020,City of Richmond|Ville de Richmond,"Richmond, BC|Richmond, C.-B.",,Expand the Railway Corridor Greenway Trail in Richmond,,13918,204750,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357301,GC-WD-DEO-2016-2017-Q4-0021,Lil'Wat Nation|Nation Lil'Wat,"Mount Currie, BC|Mount Currie, C.-B.",,Rebuild Lil'wat Nation ice rink in Mount Currie,,14288,47147,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357302,GC-WD-DEO-2016-2017-Q4-0022,Oliver Parks and Recreation Society,"Oliver, BC|Oliver, C.-B.",,Upgrade and expand the Oliver Community Centre,,14078,72178,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357303,GC-WD-DEO-2016-2017-Q4-0023,Williams Lake Curling Club|Club de curling de  Williams Lake,"Williams Lake, BC|Williams Lake, C.-B.",,Upgrade the equipment and facility at Williams Lake Curling Club,,14114,44100,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357304,GC-WD-DEO-2016-2017-Q4-0024,Coop Velo-Cite Inc|Coop Vélo-Cité Inc,"Winnipeg, MB",,Renovate the Coop Vélo-Cité bicycle community workshop,,14212,45000,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357305,GC-WD-DEO-2016-2017-Q4-0025,Corporation of the City of Nelson|La Corporation de la ville de Nelson,"Nelson, BC|Nelson, C.-B.",,Upgrade Nelson Civic Arena facilities and replace roofing,,14259,253500,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357306,GC-WD-DEO-2016-2017-Q4-0026,Young Men's Christian Association of Regina,"Regina, SK",,Install an energy recapture boiler system at the YMCA in Regina,,14263,130000,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357307,GC-WD-DEO-2016-2017-Q4-0027,City of Richmond|Ville de Richmond,"Richmond, BC|Richmond, C.-B.",,Upgrade the South Arm Community Centre in Richmond,,14273,500000,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357308,GC-WD-DEO-2016-2017-Q4-0028,Port Alberni Friendship Centre|Centre de l'amitié de Port Alberni,"Port Alberni, BC|Port Alberni, C.-B.",,Install a playground at the Port Alberni Friendship Centre,,13980,29967,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357309,GC-WD-DEO-2016-2017-Q4-0029,District of Sparwood|District de Sparwood,"Sparwood, BC|Sparwood, C.-B.",,Renovate Sparwood Leisure Centre,,14234,100620,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357310,GC-WD-DEO-2016-2017-Q4-0030,Mounted Police Heritage Centre|Centre du patrimoine de la Gendarmerie royale du Canada,"Regina, SK",,Support business development costs of the Mounted Police Heritage Centre,,13745,300000,3/7/17,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357311,GC-WD-DEO-2016-2017-Q4-0031,Bigstone Cree Nation|Nation crie de Bigstone,"Wabasca, AB",,Upgrade recreation facilities on the Bigstone Cree Nation reserves,,13893,150350,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357312,GC-WD-DEO-2016-2017-Q4-0032,Strathcona County|Comté de Strathcona,"Sherwood Park, AB",,Modernize curling rink at the Glen Allan Recreation Complex in Strathcona County,,13916,500000,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357313,GC-WD-DEO-2016-2017-Q4-0033,County of Wetaskiwin No. 10|Comté de Wetaskiwin no 10,"Wetaskiwin, AB",,Upgrade recreational facilities at the Winfield Arena,,13948,104096,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357314,GC-WD-DEO-2016-2017-Q4-0034,Lower Nicola Indian Band|Bande indienne de Lower Nicola,"Merritt, BC|Merritt, C.-B.",,Replace the fire suppression system in the Shulus Community Arena in Merritt,,14308,50100,2/2/17,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357315,GC-WD-DEO-2016-2017-Q4-0035,Association communautaire fransaskoise de Gravelbourg Inc.,"Gravelbourg, SK",,Renovate Francophone cultural centre in the Town of Gravelbourg,,14156,93436,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357316,GC-WD-DEO-2016-2017-Q4-0036,Town of Olds|Municipalité de Olds,"Olds, AB",,Upgrade Centennial Park in Olds,,14179,51196,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357317,GC-WD-DEO-2016-2017-Q4-0037,The Key First Nation|Première Nation de Key,"Norquay, SK",,Upgrade the community hall at the Key First Nation,,14180,50000,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357318,GC-WD-DEO-2016-2017-Q4-0038,City of Regina|Ville de Regina,"Regina, SK",,Upgrade lighting in four indoor rinks in the City of Regina,,13977,186500,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357319,GC-WD-DEO-2016-2017-Q4-0039,Keeseekoose First Nation|Première Nation de Keeseekoose,"Kamsack, SK",,Upgrade the Annishnabwe Cultural and Family Wellness Centre in Keeseekoose First Nation,,14077,25000,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357320,GC-WD-DEO-2016-2017-Q4-0040,Charleswood Curling Club Ltd.,"Winnipeg, MB",,Upgrade the Charleswood Curling Club,,14080,45000,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357321,GC-WD-DEO-2016-2017-Q4-0041,Town of Banff|Municipalité de Banff,"Banff, AB",,Enhance energy efficiency at The Fenlands Banff Recreation Centre,,14134,230059,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357322,GC-WD-DEO-2016-2017-Q4-0042,Norway House Cree Nation|Nation crie de Norway House,"Norway House, MB",,Upgrade gymnasium at the University College of the North in Norway House,,14141,30933,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357323,GC-WD-DEO-2016-2017-Q4-00140,City of Portage La Prairie|Ville de Portage La Prairie,"Portage La Prairie, MB",,Replace the roof at the BDO Centre in Portage la Prairie,,14016,184139,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357324,GC-WD-DEO-2016-2017-Q4-0043,Saskatoon Soccer Centre Inc.,"SASKATOON, SK",,Upgrade lighting and ventilation at the soccer centre in Saskatoon,,14190,195250,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357325,GC-WD-DEO-2016-2017-Q4-0045,Saskatchewan Trade & Export Partnership Inc.,"Regina, SK",,Support Western Canadian companies at the international trade show Agritechnica 2017,,14262,700000,2/2/17,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357326,GC-WD-DEO-2016-2017-Q4-0046,Town of Slave Lake|Municipalité de Slave Lake,"Slave Lake, AB",,Upgrade the Multi-Recreation Centre in Slave Lake,,13952,447731,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357327,GC-WD-DEO-2016-2017-Q4-0047,Village of Kenosee Lake|Village de Kenosee Lake,"Kenosee Lake, SK",,Install playground equipment in the Village of Kenosee Lake,,14060,49261,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357328,GC-WD-DEO-2016-2017-Q4-0048,Town of Neepawa|Municipalité de Neepawa,"Neepawa, MB",,Expand pathway at the Flats recreation site in Neepawa,,14176,70100,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357329,GC-WD-DEO-2016-2017-Q4-0049,Mackenzie Art Gallery Incorporated,"Regina, SK",,Renovate welcome area at the MacKenzie Art Gallery in Regina,,14275,247547,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357330,GC-WD-DEO-2016-2017-Q4-0050,City of Vancouver|Ville de Vancouver,"Vancouver, BC|Vancouver, C.-B.",,Upgrade Hillcrest Centre energy system in Vancouver,,13931,435639,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357331,GC-WD-DEO-2016-2017-Q4-0051,City of Port Alberni|Ville de Port Alberni,"Port Alberni, BC|Port Alberni, C.-B.",,Upgrade Recreation Park in Port Alberni,,13935,208129,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357332,GC-WD-DEO-2016-2017-Q4-0052,Town of Two Hills|Municipalité de Two Hills,"Two Hills, AB",,Renovate the arena in Two Hills,,13972,180446,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357333,GC-WD-DEO-2016-2017-Q4-0054,Halalt First Nation|Première Nation d'Halalt,"Chemainus, BC|Chemainus, C.-B.",,Expand Halalt First Nation's Maht-lit Community Reconciliation Centre in Chemainus,,14233,66482,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357334,GC-WD-DEO-2016-2017-Q4-0055,The Calgary Westgate Community Association|Association communautaire de Calgary Westgate,"Calgary, AB",,Refurbish the Westgate Community Centre rink in Calgary,,14249,30188,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357335,GC-WD-DEO-2016-2017-Q4-0056,City of Edmonton|Ville d'Edmonton,"Edmonton, AB",,Upgrade Queen Elizabeth Park in Edmonton,,13922,500000,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357336,GC-WD-DEO-2016-2017-Q4-0057,City of Vancouver|Ville de Vancouver,"Vancouver, BC|Vancouver, C.-B.",,Perform structural and mechanical improvements to the Kitsilano Pool,,13924,500000,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357337,GC-WD-DEO-2016-2017-Q4-0058,The City of Winnipeg|Ville de Winnipeg,"Winnipeg, MB",,Upgrade the wading pool at the Old Exhibition Park in Winnipeg,,13926,425000,11/21/16,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357338,GC-WD-DEO-2016-2017-Q4-0059,City of West Kelowna|Ville de West Kelowna,"West Kelowna, BC|West Kelowna, C.-B.",,Upgrade the lighting at West Kelowna sports fields,,13928,337750,11/21/16,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
