,ref_number,recipient_legal_name,recipient_city,prog_name_en,prog_purpose_en,agreement_title_en,agreement_number,agreement_value,agreement_start_date,agreement_end_date,description_en,expected_results_en,additional_information_en,owner_org_title
354415,GC-WD-DEO-2009-2010-Q2-00122,Tembec Inc.,"Chetwynd, BC|Chetwynd, C.-B.",,Campsite and trail improvement activities,,10749,77282,8/19/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354416,GC-WD-DEO-2015-2016-Q2-00110,City of Richmond|Ville de Richmond,"Richmond, BC|Richmond, C.-B.",,Upgrade Garrett Wellness Centre in City of Richmond,,13269,191000,7/17/15,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354417,GC-WD-DEO-2009-2010-Q2-0098,Village of Cache Creek|Municipalité de Cache Creek,"Cache Creek, BC|Cache Creek, C.-B.",,Repair surface of Cache Creek outdoor swimming pool,,9470,93359,9/11/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354418,GC-WD-DEO-2009-2010-Q2-0099,Town of Vermilion|Municipalité de Vermilion,"Vermilion, AB",,Provide for the Vermilion Recreation Centre renovation enhancements,,8965,388333,6/30/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354419,GC-WD-DEO-2009-2010-Q2-00100,Wit'at (Fort Babine) - A First Nation community of Lake Babine Nation|Wit'at (Fort Babine) - Une communauté des Premières nations de la nation de Lake Babine,"Smithers, BC|Smithers, C.-B.",,"Clearing, widening boardwalks and footbridges, adding signage and a kiosk",,10505,137120,7/30/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354420,GC-WD-DEO-2009-2010-Q2-00101,Quesnel Community and Economic Development (2002) Corporation|Société de développement économique et communautaire de Quesnel (2002),"Quesnel, BC|Quesnel, C.-B.",,Design upgrades and enhancements to commercial areas in Quesnel,,7140,106000,6/9/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354421,GC-WD-DEO-2009-2010-Q2-00102,University of Victoria|Université de Victoria,"Victoria, BC|Victoria, C.-B.",,Rehabilitate Centennial Stadium and Field,,9367,333333,8/19/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354422,GC-WD-DEO-2009-2010-Q2-00103,The Northern Manitoba Sector Council Inc.,"The Pas, MB",,Development of a crane operator training program at an industrial site in Swan River.,,10173,36739,8/19/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354423,GC-WD-DEO-2009-2010-Q2-00104,Corporation of the City of New Westminster|La Corporation de la ville de New Westminster,"New Westminster, BC|New Westminster, C.-B.",,Renovate and expand Century House to accommodate intergenerational activities,,8013,917333,6/5/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354424,GC-WD-DEO-2009-2010-Q2-00112,Winakwa Community Centre Inc.,"Winnipeg, MB",,Redevelop and expand the Winakwa Community Centre,,8896,800000,6/29/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
