,ref_number,recipient_legal_name,recipient_city,prog_name_en,prog_purpose_en,agreement_title_en,agreement_number,agreement_value,agreement_start_date,agreement_end_date,description_en,expected_results_en,additional_information_en,owner_org_title
94279,GC-2016-Q4-00039,SHUSWAP INDIAN BAND,"Vancouver, British Columbia|Vancouver, Colombie britannique",,Implementation of SARA s. 11 Agreement; Recovery of Species at Risk on Shuswap Indian Band Reserve,,GCXE17C114,161450,1/10/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94280,GC-2016-Q4-00040,THE NATURE CONSERVANCY OF CANADA,"Regina, Saskatchewan",,Learning the Land: Prairie Conservation Partnership between Treaty 4 Education Alliance and Nature Conservancy of Canada,,GCXE17C118,141300,11/29/16,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94281,GC-2016-Q4-00041,UNITED NATIONS ENVIRONMENT PROGRAMME,Nairobi,,Voluntary Contribution to the Trust Fund of the Montreal Protocol,,GCXE17E004,246340,12/29/16,,,,Recipient redistributes the contribution award to third-party beneficiaries.,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94282,GC-2016-Q4-00042,UNITED NATIONS ENVIRONMENT PROGRAMME,Nairobi,,Climate and Clean Air Coalition Trust Fund,,GCXE17I010,10000000,3/31/17,,,,Multi-year agreement.  Recipient redistributes the contribution award to third-party beneficiaries.,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94283,GC-2017-Q2-00004,ALGOMA UNIVERSITY,"SAULT STE. MARIE, ON",,Remedial Action Plan Coordination for the St. Marys River Area of Concern,,GCXE18P008,44050,7/20/17,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94284,GC-2017-Q2-00080,ESSEX REGION CONSERVATION AUTHORITY,"ESSEX, ON",,Lebo Creek Wetland Project,,GCXE18C122,246000,9/29/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94285,GC-2016-Q4-00043,UNITED NATIONS FRAMEWORK CONVENTION ON CLIMATE CHANGE SECRETARIAT,Bonn,,United Nations Framework Convention on Climate Change (UNFCCC) Trust Fund for Supplementary Activities,,GCXE17I006,250000,1/10/17,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94286,GC-2016-Q4-00044,UNIVERSITÉ DE SHERBROOKE,"Sherbrooke, Quebec|Sherbrooke, Québec",,"Phase 2: Analysis and landscape planning: contribution of complex systems based on the integration and modeling of multi-scale, multi-temporal, geospatial data for decision making",,GCXE17C131,50000,3/10/17,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94287,GC-2016-Q4-00045,UNIVERSITÉ DU QUÉBEC EN OUTAOUAIS,"Gatineau, Quebec|Gatineau, Québec",,Evaluation of the impact of residential firewood harvest on the carbon balance of Canadian forests,,GCXE17S030,52834,2/21/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94288,GC-2016-Q4-00046,UNIVERSITY OF SASKATCHEWAN,"Saskatoon, Saskatchewan",,Locating and Assessing the Use and Risk to Bigmouth Buffalo Habitat and its Population Structure Within the Qu'Appelle Valley,,GCXE17C352,144996,11/21/16,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94289,GC-2016-Q4-00047,WATER SECURITY AGENCY,"Moose Jaw, Saskatchewan",,Wetland and Drainage Inventory for Priority Saskatchewan Wetlands,,GCXE17C050,74500,9/12/16,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94290,GC-2016-Q4-00048,WATER SECURITY AGENCY,"Moose Jaw, Saskatchewan",,"Chestnut Lamprey Population and Habitat Assessment in the Qu’Appelle, Assiniboine and Whitesand Rivers.",,GCXE17C228,35376,10/25/16,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94291,GC-2016-Q4-00049,WILDLIFE HABITAT CANADA,"Ottawa, Ontario",,"Prairie Habitat Joint Venture, North American Waterfowl Management Plan",,GCXE17C257,119780.01,8/17/16,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94292,GC-2016-Q4-00050,WORLD METEOROLOGICAL ORGANIZATION,Geneva,,World Weather Research Program - Support to Three Projects: Polar Prediction Project; High Impact Weather Project; Sub-seasonal to Seasonal Prediction Project,,GCXE17S006,30000,12/28/16,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94293,GC-2016-Q4-00051,WORLD METEOROLOGICAL ORGANIZATION,Geneva,,Building seamless multi-hazard early warning system under Climate Risk Early Warning Systems (CREWS) initiative.,,GCXE17M013,10000000,2/23/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94294,GC-2017-Q1-00001,A ROCHA CANADA,"SURREY, BC",,Wetland Restoration for Species at Risk in the Little Campbell River Watershed,,GCXE18C071,47410,6/8/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94295,GC-2017-Q1-00002,FUR INSTITUTE OF CANADA,"OTTAWA, ON",,Continued Canadian compliance to the Agreement on International Humane Trapping Standards,,GCXE18C002,39100,6/26/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94296,GC-2017-Q1-00003,KATLODEECHE FIRST NATION,"HAY RIVER, NT",,Traditional Knowledge Boreal Caribou Habitat Assessment with Youth Engagement in South-Central Northwest Territories,,GCXE18C030,74030,6/21/17,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94297,GC-2017-Q1-00004,MANITOULIN STREAMS IMPROVEMENT ASSO,"MANITOWANING, ON",,Manitoulin Streams Habitat Restoration 2017,,1000391717,100000,6/30/17,,,,Project funded by multiple federal departments and/or agencies.,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94298,GC-2017-Q1-00005,NICOLA TRIBAL ASSOCIATION,"MERRITT, BC",,Enhanced Bat Managment on Nicola Tribal Association Band Reserves,,GCXE18C031,72579,6/8/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94299,GC-2017-Q1-00006,NORTHEAST AVALON ACAP INC.,"ST. JOHN'S, NL",,"Enhancement Of An Urban Wetland, Lundrigan's Marsh, St. John's, NL",,GCXE18C097,64400,6/27/17,,,,Multi-year agreement.  Project funded by multiple federal departments and/or agencies.,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94300,GC-2017-Q1-00007,OKANAGAN NATION ALLIANCE,"WESTBANK, BC",,One Mind One Voice: Collaboration for North Cascades Ki?lawna? (Grizzly Bear) Recovery,,GCXE18C015,34733,6/15/17,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94301,GC-2017-Q1-00008,PENTICTON INDIAN BAND,"PENTICTON, BC",,Snpink'tn Wetlands Restoration and Protection Strategy,,GCXE18C062,32600,6/28/17,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94302,GC-2017-Q1-00009,THE NATURE TRUST OF BRITISH COLUMBIA,"NORTH VANCOUVER, BC",,Enhancing the Resiliency and Ecological Integrity of Vancouver Island Estuaries,,GCXE18C105,97465,6/28/17,,,,Multi-year agreement.  Project funded by multiple federal departments and/or agencies.,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94303,GC-2017-Q1-00010,YUKON INVASIVE SPECIES COUNCIL,"WHITEHORSE, YT",,Restoration of Range Point Park Access,,1000393633,33500,6/13/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94304,GC-2017-Q2-00001,ACAP CAPE BRETON,"SYDNEY, NS",,Perserving the shoreline and heritage of Malagawatch,,GCXE18P077,67742,8/23/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94305,GC-2017-Q2-00002,ALBERTA CONSERVATION ASSOCIATION,"SHERWOOD PARK, AB",,"Habitat Securement for Migratory Birds in BCR 6 - Boreal Plains, Alberta",,GCXE18C159,50000,8/31/17,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94306,GC-2017-Q2-00003,ALBERTA FISH AND GAME ASSOCIATION,"EDMONTON, AB",,Adaptively Managing and Increasing Habitat for Species at Risk in Alberta's Grassland Region,,GCXE18C190,28805,8/29/17,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94307,GC-2017-Q2-00006,ARCADIS CANADA INC.,"MISSISSAUGA, ON",,Canada's Support for the Implementation of Chile's Nationally Determined Contribution,,GCXE18I004,7000000,8/7/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94308,GC-2017-Q2-00007,ASENIWUCHE WINEWAK NATION,"GRANDE CACHE, AB",,Aseniwuche Winewak Nation Caribou Protection and Habitat Program,,GCXE18C041,102590,7/6/17,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94309,GC-2017-Q2-00008,ASSOCIATION DU BASSIN VERSANT DE LA BAIE DE SHÉDIAC,"SHEDIAC, NB",,Community nursery for the restoration of riparian environments,,GCXE18P031,35861,8/2/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94310,GC-2017-Q2-00009,ASSOCIATION PROTECTION DU LAC À LA TRUITE D'IRLANDE,"IRLANDE, QC",,"Work - restoration of the Stater (Ireland, Quebec) pond dam (phase 2)",,GCXE18C111,140000,8/16/17,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94311,GC-2017-Q2-00010,ATHABASCA DENESULINE NÉ NÉ LAND CORPORATION,"PRINCE ALBERT, SK",,The Athabasca Denesuline Né Né Barren Ground Caribou Monitoring Project,,GCXE18C014,40000,7/13/17,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94312,GC-2017-Q2-00011,ATHENE ECOLOGICAL,"PORT COQUITLAM, BC",,Western Painted Turtle and associated riparian species at risk recovery in South Coastal British Columbia,,GCXE18C311,54340,8/17/17,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94313,GC-2017-Q2-00040,CARLETON UNIVERSITY,"OTTAWA, ON",,Ecosystem & Landscape Management Research,,GCXE18S006,600000,9/19/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94314,GC-2017-Q2-00012,ATLANTIC CANADA CONSERVATION DATA CENTRE,"SACKVILLE, NB",,Enhancing the Reach of Stewardship in the Saint John River Valley,,GCXE18C332,89200,9/29/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94315,GC-2017-Q2-00013,ATLANTIC COASTAL ACTION PROGRAM SAINT JOHN INC,"SAINT JOHN, NB",,Saint John Field House Wetland Enhancement,,GCXE18C120,226500,9/20/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94316,GC-2017-Q2-00079,ESSEX REGION CONSERVATION AUTHORITY,"ESSEX, ON",,Restoring Wetland Habitat in the Essex Region,,GCXE18C118,197000,9/29/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94317,GC-2017-Q2-00014,AVALANCHE CANADA,"REVELSTOKE, BC",,Provision of avalanche safety programs in Canada,,GCXE18M015,75000,9/25/17,,,,Recipient redistributes the contribution award to third-party beneficiaries. Project funded by multiple federal departments and/or agencies.,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94318,GC-2017-Q2-00015,BATHURST SUSTAINABLE DEVELOPMENT,"BATHURST, NB",,"Climate Change, Human Health and the urban Forest",,GCXE18P074,58000,8/14/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94319,GC-2017-Q2-00016,BE THE CHANGE EARTH ALLIANCE SOCIETY,"VANCOUVER, BC",,Climate Action Champions (CAC),,GCXE18P042,35000,8/23/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94320,GC-2017-Q2-00017,BEAR RIVER FIRST NATION,"BEAR RIVER, NS",,"Kespukwitk Monitoring Species At Risk by Learning from the Land, Elders, and Language",,GCXE18C045,126665,9/29/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94321,GC-2017-Q2-00018,BIOSPHERE INSTITUTE OF THE BOW VALLEY,"CANMORE, AB",,Next Steps: A Climate of Change,,GCXE18P063,66550,10/4/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94322,GC-2017-Q2-00186,TORONTO AND REGION CONSERVATION AUTHORITY,"DOWNSVIEW, ON",,Western Lake Ontario Collaborative,,GCXE18P110,40000,9/19/17,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94323,GC-2017-Q2-00019,BIOTALENT CANADA,"OTTAWA, ON",,Bio-economy's Environmental Youth Internship Program,,GCXE18S009,675000,7/7/17,,,,Recipient redistributes the contribution award to third-party beneficiaries.,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94324,GC-2017-Q2-00020,BIRD STUDIES CANADA,"PORT ROWAN, ON",,Strengthening Landowner Stewardship and Focusing Conservation Action for Aerial Insectivores in the Maritimes,,GCXE18C148,61720,8/22/17,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94325,GC-2017-Q2-00028,BLUENOSE COASTAL ACTION FOUNDATION,"LUNENBURG, NS",,Atlantic Canada Microplastics Research Project,,GCXE18P019,62000,9/8/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94326,GC-2017-Q2-00021,BIRD STUDIES CANADA,"PORT ROWAN, ON",,Reducing Threats to Endangered Piping Plover and Critical Habitats in Coastal Nova Scotia and Southeastern New Brunswick,,GCXE18C273,276150,8/10/17,,,,Multi-year agreement.  Project funded by multiple federal departments and/or agencies.,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94327,GC-2017-Q2-00022,BIRD STUDIES CANADA,"PORT ROWAN, ON",,Strengthening Landowner Stewardship and Focusing Conservation Action for Chimney Swifts in the Maritimes,,GCXE18C317,27470,8/1/17,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
