recipient_city,agreement_value,year
Sechelt,"[ 355732.  190731.  349870.  102905.   91993.   49125.   38118.  164558.
  114641. 3981859.]",[2006 2007 2008 2010 2011 2012 2013 2015 2018 2019]
Sedgewick,[46000. 45000.  6974.  8977.],[2014 2015 2018 2019]
Sedley,[3617.],[2018]
Seeley's Bay,[15163.],[2018]
Seguin,[61235.],[2018]
Seldom,[3055.],[2019]
Seldom Come By,[2985.],[2018]
Selkirk,"[592426. 614885. 240591. 205730. 246270. 268820. 145658. 546058. 283804.
 387927. 450228. 208000.]",[2006 2007 2008 2009 2010 2011 2012 2013 2015 2016 2018 2019]
"Selkirk, Ontario",[35603.],[2017]
Selwyn,[32035. 71703.],[2016 2018]
"Selwyn, Ontario",[27056.],[2017]
Semans,[3948.],[2018]
Senneterre,[163036. 196309. 209716.  93099.  63307.  72778.  91423. 114930. 354135.],[2007 2008 2009 2010 2012 2013 2015 2018 2019]
"Senneterre, Quebec|Senneterre, Québec",[286706.],[2017]
Senneville,[5040. 7000.],[2018 2019]
Sept-Iles,[154969. 164896.  87209.  28736.  36211.   8234.],[2006 2007 2008 2010 2011 2018]
Sept-Îles,"[ 121372.  893069. 2087841.  317097.   98947.   57197.  407875.  122980.
  852522.]",[2006 2010 2011 2012 2013 2014 2015 2018 2019]
Sept-îles,[25000.],[2019]
Seven Sisters Falls,[2210. 4374.],[2018 2019]
Severn Bridge,[26000. 41767.],[2015 2018]
Sexsmith,[ 3264. 14678.],[2018 2019]
Shag Harbour,[3436. 1619.],[2018 2019]
Shalalth,[26699.],[2008]
Shalloway Cove,[3119.],[2019]
Shamrock,[7892. 7964.],[2018 2019]
Shangai,[100000.],[2014]
Shaniah,[1680.],[2018]
Shannon,[10627. 10860.],[2018 2019]
Shannonville,"[1.4926860e+06 2.7061417e+07 2.4907140e+06 4.7041900e+06 2.1980000e+04
 8.5717218e+07]",[2008 2010 2011 2014 2018 2019]
Shanty Bay,[73623.],[2011]
Sharbot Lake,[50000. 23957.],[2015 2018]
Sharon,[36032. 32345.],[2016 2018]
Shaunavon,[11876. 21611.],[2018 2019]
Shawille,[3294.],[2018]
Shawinigan,"[ 248360.   95018.  223986.  452689.  215757.  363854.  239685.  250173.
  303741.  326807.  884230.  336149. 1780012.]",[2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2018 2019]
Shawinigan Lake,[42514.],[2019]
"Shawinigan, Quebec|Shawinigan, Québec",[126929.],[2017]
Shawnigan Lake,[ 28382. 150065.  27720.  37400.  49419.  59234.],[2008 2010 2013 2015 2018 2019]
Shawville,[ 36585. 109918.],[2018 2019]
Sheaves Cove,[6110.],[2019]
Shediac,[ 52400.  99822.  26205. 166756.],[2006 2013 2018 2019]
"Shediac, New Brunswick|Shediac, Nouveau-Brunswick",[413587.],[2017]
Sheenboro,[ 2700. 13000.],[2018 2019]
Sheet Harbour,[42466. 43368.],[2018 2019]
Shefford,[ 5220. 15672.],[2018 2019]
Sheguiandah,[4620. 7985.],[2018 2019]
Shelburene,[43575.],[2008]
Shelburne,[86591. 88836.],[2018 2019]
Shelburne County,[3436.],[2018]
"Shelburne, Nova Scotia|Shelburne, Nouvelle-Écosse",[25834.],[2017]
Shell Lake,[1316.],[2018]
Shellbrook,[ 9207. 10176.],[2018 2019]
Shemogue,[48955.  3600.  3680.],[2008 2018 2019]
Shepody,[1352. 1035.],[2018 2019]
Sheppardville,[1368.],[2019]
Sherbrooke,"[ 495477. 1556733. 1722276.  752678. 2061784.  948957. 1655584. 2524851.
  842135. 6079477.  991435. 1323699. 8579245.]",[2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2018 2019]
"Sherbrooke, Quebec|Sherbrooke, Québec",[1473113. 1558039.],[2017 2018]
Sherkston,[31529.  6720.],[2016 2018]
Sherridon,[1340.],[2018]
Sherrington,[ 3960. 17200.],[2018 2019]
Sherwood,[5261.],[2018]
Sherwood PArk,[4200.],[2019]
Sherwood Park,"[  45688.  183463.   82980.  157795. 1308987.  157557.  164461.  654898.
 2602781.  174208.  213326.  374796.  906473.]",[2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2018 2019]
"Sherwood Park, Alberta",[185053.],[2017]
Sherwood park,[1632.],[2018]
Sheshatshiu,[2085673.   66307. 5158856.],[2010 2011 2019]
Sheshegwaning,[8543.],[2018]
Shigawake,[ 4941. 17012.],[2018 2019]
Shilo,[ 4265. 28686.],[2018 2019]
Ship Harbour,[10277.],[2019]
Shippagan,[ 46692.  30000.  28900. 200000.  99043. 321407.  79308.  85862.],[2006 2007 2008 2010 2012 2016 2018 2019]
"Shippagan, New Brunswick|Shippagan, Nouveau-Brunswick",[202740.],[2016]
Shipshaw,[12900. 20486.],[2018 2019]
Shoal Cove East,[25726.],[2010]
Shoal Harbour,[26700.],[2007]
Shoal Lake,[4106. 5872.],[2018 2019]
Shoe Cove,[6821.],[2018]
Shubenacadie,[1.9436622e+07 1.7822000e+04 8.6100000e+03],[2010 2018 2019]
Shubenacadie | Shubénacadie,[3682.],[2018]
Shuniah,[1680.],[2018]
Shédiac,[99558. 84224.],[2008 2018]
Sicamous,[25818. 81512.],[2018 2019]
Sidney,"[ 143759.  264106.  161760.  380554.  946267.  479215.   50000. 2062587.
   94304.  114903.]",[2006 2007 2008 2010 2011 2014 2015 2016 2018 2019]
Siksika,[451963.  27002. 446541.],[2006 2018 2019]
Sillikers,[ 4280. 10534.],[2018 2019]
Silverton,[1520. 3549.],[2018 2019]
Simcoe,[ 89580. 100000.  79932.  50000. 203958.  84045.],[2008 2012 2014 2015 2018 2019]
"Simcoe, Ontario",[50000.],[2018]
Simoom Sound,[14881. 13233.],[2018 2019]
Simpson,[1549.],[2019]
Sintaluta,[7886.],[2019]
Sioux Lookout,"[  489796.  3699591. 16598658.   160241.   218194.   113426.    47339.
    59810. 41180216.]",[2008 2009 2010 2011 2012 2013 2015 2018 2019]
"Sioux Lookout, Ontario",[2052979. 5730241.],[2017 2018]
Sioux Narrows,[10080. 25000.],[2018 2019]
Six Roads,[1577. 1610.],[2018 2019]
Skead,[9835.],[2019]
Skidegate,[38600.  7764. 36344.],[2015 2018 2019]
Skiff,[95151. 84162.],[2009 2010]
Skir Dhu,[16640.],[2019]
Slate River,[3360.],[2018]
Slave Lake,[5760000.   47426.   50000.   16765.   36488.],[2010 2013 2015 2018 2019]
"Slave Lake, Alberta",[26000. 39552.],[2017 2018]
Slemon Park,[5547.],[2019]
Slocan,[8420. 9503.],[2018 2019]
Smeaton,[10277.  2323.],[2018 2019]
Smith,[20027.],[2019]
Smith Falls,[50000.],[2015]
Smith's Cove,[4442.],[2018]
Smith's Harbour,[5348.],[2019]
Smithers,[ 34903.  88305. 106887.  61666.  94345. 176250.],[2006 2010 2011 2012 2018 2019]
"Smithers, British Columbia|Smithers, Colombie-Britannique",[50000. 50000.],[2017 2018]
Smithfield,[8605.],[2018]
Smiths Cove,[7168.],[2019]
Smiths Creek,[2929. 2990.],[2018 2019]
Smiths Falls,[26113. 62723. 49500.],[2013 2018 2019]
"Smiths Falls, Ontario",[33816.],[2017]
Smithville,[50000. 12197. 25000.],[2009 2018 2019]
Smoky Lake,[16320. 34902.],[2018 2019]
Smooth Rock Falls,[73830. 47830. 17674.],[2011 2015 2018]
Snider Mountain,[14936. 11687.],[2018 2019]
Snow Lake,[17829. 50760.],[2018 2019]
Sointula,[13800. 28620.],[2018 2019]
Sombra,[9274.],[2018]
Somerset,[8882. 1591.],[2018 2019]
Somerville,[ 3012. 14750.],[2018 2019]
Sonora,[24990.],[2019]
Sooke,[ 31556.  62789. 127823.],[2009 2018 2019]
Sorel -Tracy,[98145.],[2009]
Sorel-Tracy,"[ 383544.  330764.  593658.  637380.  167689.  276202.   96323.   82972.
 1021167.  157505.  166138. 1245210.]",[2006 2007 2008 2010 2011 2012 2013 2014 2015 2016 2018 2019]
"Sorel-Tracy, Quebec|Sorel-Tracy, Québec",[158420.],[2017]
Sorrento,[22222. 35288.],[2018 2019]
Souris,"[120633.  96878. 113257.  99087. 200020.  99811.  99533. 104923. 100107.
  78983.  94566.]",[2006 2008 2009 2010 2011 2013 2014 2015 2016 2018 2019]
South Bar,[3436. 3611.],[2018 2019]
South Berwick,[16436.],[2019]
South Branch,[2830.],[2018]
South Brook,[15935. 17152.],[2018 2019]
South Bruce Peninsula,[6720.],[2018]
South Dildo,[6237.],[2019]
South East Bight,[5224.],[2018]
South Esk,[57146. 17641. 18046.],[2009 2018 2019]
South Granville,[1388.],[2018]
South Harbour,[7920. 3353.],[2018 2019]
South Hazelton,[103250.  80663.],[2007 2008]
South Junction,[21781.],[2019]
South Ohio,[50000.],[2010]
South Porcupine,[1680.],[2018]
South River,[14620. 18012.],[2018 2019]
South Slocan,[14499. 20995.],[2018 2019]
South SlopeRPO,[15124.],[2019]
South Tetagouche,[8353. 1380.],[2018 2019]
South Winsloe,[1388.],[2018]
Southampton,[31204. 21471.],[2012 2018]
"Southampton, Ontario",[30000.],[2017]
Southern Harbour,[7234. 8084.],[2018 2019]
Southey,[31200.  1316. 26328.],[2015 2018 2019]
Southport,[30803.],[2018]
Southside Bouarderie,[3468.],[2019]
Southside Boularderie,[3682. 3870.],[2018 2019]
Southwold,[  36305. 8928887.],[2018 2019]
Spalding,[1316.],[2018]
Spaniard's Bay,[27046. 29467.],[2018 2019]
Spanish,[3360.],[2018]
Sparta,[12818.],[2018]
Sparwood,[17942. 35779.],[2018 2019]
Spencer's Island,[3436. 3234.],[2018 2019]
Spencerville,[50000.  3797.],[2015 2018]
Spences Bridge,[8822.],[2019]
Spirit River,[14280. 18375.],[2018 2019]
Spiritwood,[35000. 28323. 27559.],[2008 2018 2019]
Sprague,[1786.],[2018]
Spring Bay,[5040.],[2018]
Spring Lake,[3264.],[2018]
Springbrook,[6528. 9555.],[2018 2019]
Springdale,[39345. 33179. 36029. 63084. 61717.],[2006 2008 2011 2018 2019]
Springfield,[16632.  2187.],[2018 2019]
Springhill,[45500. 21801. 33980.],[2015 2018 2019]
Springside,[24589.],[2019]
Springville,[ 3436. 25000.],[2018 2019]
Springwater,[16800. 30240.],[2018 2019]
Spruce Grove,[ 70996.  29341.  25160. 275480. 369867.],[2009 2010 2014 2018 2019]
"Spruce Grove, Alberta",[46848.],[2017]
Spruce View,[25815. 23890.],[2018 2019]
Spy Hill,[1316.],[2018]
Squamish,[ 60171.  39247.  96877. 168934.],[2007 2009 2018 2019]
Squatec,[12197. 33742.],[2018 2019]
St Albans,[49490.],[2006]
St Albert,[366292. 900994.  32504.],[2007 2008 2019]
St Catharines,[44962. 50000. 38596.],[2007 2008 2009]
St Claude,[7372.],[2019]
St Eugene,[35200.],[2011]
St George,[100000.],[2010]
St George Brant,[5040.],[2018]
St Isidore,[20474.],[2019]
St Isidore de Bellevue,[3590.],[2019]
"St Jacobs, Ontario",[49993.],[2017]
St Jean sur Richelieu,[25932.],[2009]
St John's,[ 37500. 181715.  61248.],[2006 2009 2013]
St Lambert de Lauzon,[481593.],[2006]
St Leon,[3686.],[2019]
St Margarets Village,[76142.],[2007]
St Marys,[23932.],[2019]
St Paul,[135008.   4200.],[2006 2019]
St Peters Bay,[1388.],[2018]
St Theresa Point,[92149.],[2019]
St Thomas,[370627.],[2016]
"St Thomas, Ontario",[47375.],[2018]
St- Jean sur Richelieu,[30926.],[2011]
St-Albert,[3797.],[2018]
St-Alexis-de-Matapédia,[8181.],[2018]
St-Ambroise,[35000.  4297.],[2011 2019]
St-Andrews,[159500.],[2007]
St-Andrews West,[0.],[2019]
St-André-Avellin,[0.],[2019]
St-André-de-Restigouche,[3294.],[2018]
St-Antoine -sur-Richelieu,[0.],[2019]
St-Apollinaire,[0.],[2019]
St-Augustin-de-Desmaures,[0.],[2019]
St-Basile,[2929.],[2018]
St-Bruno de Montarville,[26344.],[2009]
St-Bruno-de-Guigues,[14616.],[2018]
St-Bruno-de-Montarville,[14821.],[2018]
"St-Bruno-de-Montarville, Quebec|St-Bruno-de-Montarville, Québec",[41225.],[2017]
St-Catharines,[1320966.],[2008]
St-Catherine,[45838.],[2010]
St-Cyrille-de-Wendover,[9881.],[2018]
St-Césaire,[227968. 186143.],[2009 2010]
St-David-de-Falardeau,[50000.],[2012]
St-Denis-de-Brompton,[93862.],[2019]
St-Dominique-du-Rosaire,[1440.],[2018]
St-Edmond,[30240.],[2009]
St-Eugène de Guigues,[36471.],[2012]
St-Eugène-de-Guigues,[2882.],[2018]
St-Eustache,[ 76867. 127425.  32760. 877378. 292085.   4117.      0.],[2009 2010 2011 2012 2014 2018 2019]
St-François-Xavier de Brompton,[0.],[2019]
St-Gabriel-de-Brandon,[38640. 81485. 40645.],[2011 2012 2014]
"St-Gabriel-de-Brandon, Quebec|St-Gabriel-de-Brandon, Québec",[38155.],[2018]
St-Gabriel-de-Valcartier,[287632.  74856.],[2011 2019]
St-Gabriel-de-la-Valcartier,[92315. 90571.],[2009 2010]
"St-Gabriel-de-la-Valcartier, Quebec|St-Gabriel-de-la-Valcartier, Québec",[109613.],[2017]
St-Georges,[98868. 32262. 64524.     0.],[2009 2011 2012 2019]
St-Gervais,[ 97810.  98283. 359836. 158380.  28419.],[2008 2009 2010 2012 2014]
St-Hilaire,[1577. 2750.],[2018 2019]
St-Hippolyte,[27232.],[2007]
St-Hubert,[ 35193. 122024. 209173. 127398.  56050.      0.],[2010 2011 2012 2014 2018 2019]
St-Hyacinthe,[219913.  59427. 154196.  56738.  16000.],[2010 2011 2012 2014 2019]
"St-Hyacinthe, Quebec|St-Hyacinthe, Québec",[52123.],[2016]
St-Isidore,[12984. 10304.],[2018 2019]
St-Jacques-le-Mineur,[0.],[2019]
St-Janvier,[ 64121. 269238.],[2009 2011]
St-Janvier Mirabel,[97796.],[2010]
St-Janvier-de-Joly,[0.],[2019]
St-Jean,[260000.],[2007]
St-Jean sur Richelieu,[473497.],[2010]
St-Jean-Baptiste,[50000.],[2015]
St-Jean-Chrysostome,[ 80243.  96299. 192600.  96300.],[2007 2011 2012 2014]
St-Jean-de-Dieu,[0.],[2019]
St-Jean-de-Matha,[ 49886. 117567.],[2011 2012]
St-Jean-sur-Richelieu,"[  90933.  566538. 1907185.  288456.  316147.  456321.  165200. 2347506.
       0.]",[2008 2009 2010 2012 2013 2014 2015 2016 2019]
"St-Jean-sur-Richelieu, Quebec|St-Jean-sur-Richelieu, Québec",[158678.],[2017]
St-Jerome,[90000.],[2016]
St-Joachim-de-shefford,[0.],[2019]
St-John,[63849.],[2009]
St-John's,[519995. 520000. 520000. 520000. 144972.],[2006 2009 2010 2012 2016]
St-Joseph,[5040.],[2018]
St-Joseph-De-Ham-Sud,[110600.],[2012]
St-Joseph-de-Beauce,[75000.],[2011]
"St-Joseph-de-Beauce, Quebec|St-Joseph-de-Beauce, Québec",[3323716.],[2017]
St-Joseph-de-Ham-Sud,[129291.],[2015]
"St-Joseph-de-Ham-Sud, Quebec|St-Joseph-de-Ham-Sud, Québec",[33805.],[2017]
St-Joseph-de-Lepage,[48016.],[2015]
St-Jérome,[0.],[2019]
St-Jérôme,[398170. 157759. 317153.  28866.      0.],[2009 2010 2011 2014 2019]
"St-Jérôme, Quebec|St-Jérôme, Québec",[105126.  26864.],[2017 2018]
St-Lambert-de-Lauzon,[0.],[2019]
St-Laurent,[149218.  95992.  17291.      0.],[2010 2011 2018 2019]
St-Leonard,[0.],[2019]
St-Lin-Laurentides,[ 91412. 119995. 235057. 140655. 243348.],[2008 2011 2012 2013 2015]
St-Louis-de-Blandford,[0.],[2019]
St-Ludger-de-Milot,[0.],[2019]
St-Léon-de-Standon,[1080.],[2018]
St-Léonard,[ 99828.  83581. 141209.],[2008 2013 2018]
St-Magloire,[0.],[2019]
St-Marc de Figuery,[43500.],[2009]
St-Martin,[0.],[2019]
St-Mathieu-de-Beloeil,[0.],[2019]
St-Michel,[0.],[2019]
St-Nicolas,[32648. 29634.],[2008 2009]
St-Pamphile,[ 50000. 149985. 222777. 175261.  27778.],[2008 2010 2012 2013 2014]
St-Paul Île aux Noix,[95230.],[2010]
St-Paul's River,[128969. 175233.  98065.],[2012 2013 2015]
"St-Paul's River, Quebec|Rivière Saint Paul, Québec",[87287.],[2017]
"St-Paul's River, Quebec|Rivière Saint-Paul, Québec",[87287.],[2016]
St-Paul-d'Abbotsford,[215999.      0.],[2012 2019]
St-Paul-de-l'Île-aux-Noix,[46658.],[2018]
"St-Philippe, Quebec|St-Philippe, Québec",[37243.],[2017]
St-Pierre Jolys,[26350.],[2009]
St-Pierre-Jolys,[25133.],[2019]
"St-Pierre-Jolys, Manitoba",[31535.],[2017]
St-Prime,[0.],[2019]
St-Quentin,[2957.],[2018]
St-Raymond,[99933. 99895.],[2008 2010]
St-Romuald,[476354.],[2010]
St-Rédempteur,[90332.],[2014]
St-Rémi,[112588. 119655. 150522. 142186.  71094.  31648.],[2009 2010 2011 2012 2014 2016]
St-Sauveur,[141143. 152078.],[2011 2014]
St-Simon,[1380.],[2018]
St-Sylvestre,[0.],[2019]
St-Tite,[54282.     0.],[2013 2019]
St-malo,[0.],[2019]
St. Adolphe,[7362. 7255.],[2018 2019]
St. Alban's,[43429. 47894.],[2018 2019]
St. Albans,[42500.],[2009]
St. Albert,[ 75000. 212282. 368806.],[2011 2018 2019]
"St. Albert, Alberta",[34000.],[2018]
St. Andrews,[ 11562. 103200.],[2018 2019]
St. Anthony,[ 96028. 104778.],[2018 2019]
St. Barbe,[1005. 1368.],[2018 2019]
St. Brendan's,[5227. 2674.],[2018 2019]
St. Bride's,[10966. 17630.],[2018 2019]
St. Brieux,[4363. 7356.],[2018 2019]
St. Catharines,"[1924256. 1736562.  482671. 1142518.  984167.  766336.  508221.  506991.
  495135. 1078482.  987242.  275325.]",[2006 2007 2008 2009 2010 2011 2012 2013 2015 2016 2018 2019]
"St. Catharines, Ontario",[3175358.],[2017]
St. Catherines,[635000.   5810.],[2007 2019]
St. Claude,[16420.  8736.],[2018 2019]
St. Clements,[1680.],[2018]
St. Croix,[37500.  8032.],[2014 2018]
St. David's,[1005.],[2018]
St. Francois Xavier,[2676. 3178.],[2018 2019]
St. George,[231517. 631335. 305740. 540768. 284503. 234905. 240414.  73171.  51042.],[2006 2007 2008 2009 2010 2011 2012 2018 2019]
St. George's,[49296. 12220.],[2013 2019]
St. George-Brant,[0.],[2019]
St. Georges,[3101.],[2018]
St. Isidore,[20940.],[2018]
St. Isidore de Bellevue,[6095. 3284.],[2018 2019]
St. Jacobs,[6720. 5600.],[2018 2019]
St. Jean sur Richelieu,[28677.],[2010]
St. Jean-Baptiste,[5685.],[2018]
St. John,[40000.],[2011]
St. John's,"[ 2955969. 16355678.  4254715.  4163090.  3293047.  3537205.  5435436.
  2774386.  7614422.  2067041.  3027266.  1890734. 13387166.]",[2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2018 2019]
St. John's | Saint-Jean,[1261317.],[2018]
"St. John's, Newfoundland and Labrador|Saint-Jean, Terre-Neuve-et-Labrador",[415701. 415701.],[2017 2018]
"St. John's, Newfoundland and Labrador|St. John's, Terre-Neuve-et-Labrador",[   63800. 13186909.   413603.],[2016 2017 2018]
St. Joseph,[5260.],[2018]
St. Joseph's,[ 2640. 24961.],[2018 2019]
St. Joseph's Cove,[3048.],[2018]
St. Laurent,[271118.   5018.  12327.],[2016 2018 2019]
"St. Laurent, Manitoba",[32500.],[2017]
St. Lawrence,[37454. 79715. 90422. 63732. 62213.],[2007 2008 2011 2018 2019]
"St. Lawrence, Newfoundland and Labrador|St. Lawrence, Terre-Neuve-et-Labrador",[50000.],[2018]
St. Leon,[3101.],[2018]
St. Leonard,[79237. 63870.],[2009 2010]
St. Lewis,[4726.],[2019]
St. Louis,[2935. 6549.],[2018 2019]
St. Lunaire-Griquet,[33242. 50124.],[2018 2019]
St. Malo,[10660. 10137.],[2018 2019]
St. Margaret Village,[34830.],[2019]
St. Margaret's,[3682.],[2018]
St. Margaret's Village,[22092.],[2018]
St. Martins,[39771. 46940.],[2018 2019]
St. Mary's,[47966. 64440.],[2018 2019]
St. Marys,[39000. 38724.],[2008 2018]
St. Norbert,[325000. 180207. 104603.   2676.   3178.],[2006 2007 2008 2018 2019]
St. Paul,[36982. 28336. 25004. 25740. 56859. 93452.],[2010 2011 2012 2015 2018 2019]
St. Pauls,[64071.  3991.  7605.],[2011 2018 2019]
St. Peter's,[31176. 32303.],[2018 2019]
St. Peter's Bay,[90516. 14767.],[2016 2019]
St. Peters,[7715.],[2019]
St. Peters Bay,[18137. 24918.],[2018 2019]
St. Pierre Jolys,[3555.],[2019]
St. Pierre-Jolys,[28335.  9983.],[2018 2019]
St. Shotts,[24752.],[2019]
St. Stephen,[80632. 94400.],[2018 2019]
St. Teresa's,[75000.],[2011]
St. Theresa Point,[46515.],[2018]
St. Thomas,"[253420. 316096. 339569. 409986. 502414. 407773. 371633.  25170. 318735.
  43750.]",[2007 2008 2009 2010 2011 2014 2015 2016 2018 2019]
"St. Thomas, Ontario",[25719.],[2017]
St. Vincent,[4200.],[2019]
St. Vincent's,[8957. 9674.],[2018 2019]
St. Walburg,[26344. 21811. 39595.],[2016 2018 2019]
St. Williams,[36154. 34020.],[2018 2019]
St.-Charles,[11550.],[2018]
St.Albert,[10500.],[2019]
St.Alphonse,[3686.],[2019]
St.Bride's,[25304.],[2007]
St.Catharines,[136529.  50000. 159569.  18984.  15188.],[2007 2008 2010 2018 2019]
St.Catherines,[2151650.],[2009]
St.John's,[ 961279.  996193.  173854.  335815. 2999610.],[2007 2008 2011 2013 2019]
St.Thomas,[ 43496. 351703.  50000.],[2009 2013 2015]
Stag Harbour,[2986. 9357.],[2018 2019]
Stanbridge East,[ 8234. 19436.],[2018 2019]
Standard,[1632. 8400.],[2018 2019]
Standoff,[11128. 14331.],[2018 2019]
Stanhope,[7484. 9182.],[2018 2019]
Stanley,[7530. 7191.],[2018 2019]
Stanley Bridge,[3007. 7293.],[2018 2019]
Stanley Mission,[7892. 7742.],[2018 2019]
Stanstead,[50000. 33955. 33636.],[2015 2018 2019]
Star City,[1316. 3982.],[2018 2019]
Stavely,[  4896. 109778.],[2018 2019]
Stayner,[50000. 28985. 40388.],[2013 2016 2018]
"Stayner, Ontario",[41738.],[2017]
Ste Agathe,[1988.],[2019]
Ste Anne,[5069.],[2019]
Ste Rose du Lac,[3686.],[2019]
Ste- Thérèse,[35000.],[2008]
Ste-Anne de Bellevue,[28839.],[2007]
"Ste-Anne de Madawaska, New Brunswick|Ste-Anne de Madawaska, Nouveau-Brunswick",[32826.],[2018]
Ste-Anne-de-Beaupré,[0.],[2019]
Ste-Anne-de-Bellevue,[29634. 27750. 50000. 33141.],[2009 2012 2015 2016]
"Ste-Anne-de-Bellevue, Quebec|Ste-Anne-de-Bellevue, Québec",[31669.],[2017]
Ste-Anne-de-Kent,[76348. 30000. 49980. 76440.],[2007 2009 2010 2012]
Ste-Anne-de-Madawaska,[6218.],[2018]
Ste-Anne-des-Plaines,[38726. 40055.],[2009 2016]
"Ste-Anne-des-Plaines, Quebec|Ste-Anne-des-Plaines, Québec",[41740.],[2017]
Ste-Anne-du-Ruisseau,[4295. 4514.],[2018 2019]
Ste-Brigitte-de-Laval,[99725.],[2010]
Ste-Claire,[0.],[2019]
Ste-Françoise,[50000.],[2010]
"Ste-Geneviève, Quebec|Ste-Geneviève, Québec",[103651.],[2016]
Ste-Geneviève-de-Batiscan,[0.],[2019]
Ste-Germaine-Boulé,[4734.],[2018]
Ste-Gertrude-Manneville,[1260.],[2018]
Ste-Hélène-de-Bagot,[50000.],[2012]
Ste-Marguerite-du-Lac-Masson,[96818.],[2008]
Ste-Marie de Beauce,[236787. 151905.],[2008 2009]
Ste-Marie-St-Raphael,[13850.],[2018]
Ste-Perpétue,[50000.],[2013]
Ste-Sabine,[1440.],[2018]
Ste-Thérèse,[272225. 322925. 127783.  71416.],[2009 2010 2012 2015]
Ste-Émélie de L'Énergie,[145918.],[2010]
Ste. Agathe,[7786. 7256.],[2018 2019]
Ste. Anne,[50000. 23521. 10273.],[2015 2018 2019]
Ste. Genevieve,[2187.],[2019]
Ste. Rose du Lac,[12469. 11633.],[2018 2019]
Ste. Rose du lac,[3101.],[2018]
Steady Brook,[12306. 13269.],[2018 2019]
Steeves Mountain,[1380.],[2018]
Steinbach,[203490.  80000. 176738. 204187. 228564.  60940. 268299.  49038. 170481.],[2006 2007 2008 2009 2010 2011 2014 2018 2019]
"Steinbach, Manitoba",[50000.],[2018]
Steinback,[33128.],[2009]
Stella,[15760. 10621.],[2018 2019]
Stellarton,[84844. 51642. 79739.],[2006 2018 2019]
Stenen,[1316.],[2018]
Stepenville,[98067.],[2008]
Stephenville,"[ 799313.  620309.  136618.  369757. 1186327.  188097.  242011.  123863.
   27337.   28100. 1184095. 1483036.  304573.]",[2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2018 2019]
Stephenville Crossing,[11742.],[2019]
"Stephenville, Newfoundland and Labrador|Stephenville, Terre-Neuve-et-Labrador",[29371.],[2017]
Stettler,[73888. 52073.],[2018 2019]
Stevensville,[15902.],[2019]
Stewart,[12972.  8822.],[2018 2019]
Stewiacke,[13996. 10602.],[2018 2019]
Stickney,[2636. 2697.],[2018 2019]
Stirling,[ 38571. 218615.],[2018 2019]
Stittsville,[703456.  58885.      0.],[2013 2018 2019]
Stockholm,[1316.],[2018]
Stoke,[ 2160. 12400.],[2018 2019]
Stokes Bay,[0.],[2019]
Stonecliffe,[44260. 11880.],[2009 2019]
Stoneham,[ 2471. 13912.],[2018 2019]
Stoneham-et-Tewkesbury,[ 6997. 11968.],[2018 2019]
Stonehaven,[8032. 4109.],[2018 2019]
Stoneville,[4583.],[2019]
Stonewall,[24516. 34439.],[2018 2019]
Stoney Creek,[ 33142.  47818.  51172. 208083. 445641.],[2008 2014 2016 2018 2019]
"Stoney Creek, Ontario",[75963.],[2017]
Stoney Island,[3080. 1619.],[2018 2019]
Stoney creek,[1260.],[2018]
Stony Mountain,[50000.  9303. 17484.],[2012 2018 2019]
"Stony Mountain, Manitoba",[50000.],[2017]
Stony Plain,[ 83787.  26796. 415318. 189034. 253933. 760482. 181287.],[2008 2009 2011 2014 2015 2018 2019]
"Stony Plain, Alberta",[184833.],[2017]
Stornoway,[ 7685. 39274.],[2018 2019]
Stouffville,[ 75000.  28728.  46589.  32036. 197793. 153710.],[2011 2012 2015 2016 2018 2019]
"Stouffville, Ontario",[77055.],[2017]
Stoughton,[ 5263. 16746.],[2018 2019]
Straffordville,[50000. 50000. 48000.  5040.],[2012 2014 2015 2018]
"Straffordville, Ontario",[83272.],[2018]
Strait of Belle Isle | Détroit de Belle Isle,[1005.],[2018]
Strasbourg,[ 8880. 31310.],[2018 2019]
Strasburg,[3901.],[2019]
Stratford,"[130000.  78312.  86907. 227501. 380548. 460050. 372671. 562111. 323645.
 277184. 765121.]",[2008 2009 2010 2011 2012 2013 2014 2015 2016 2018 2019]
"Stratford, Ontario",[50000.],[2018]
Strathadam,[1352. 1380.],[2018 2019]
Strathclair,[4441. 8686.],[2018 2019]
Strathmore,[ 59642. 113026.],[2018 2019]
Strathroy,[29992. 29566. 50000. 52829.  7131.],[2010 2011 2014 2018 2019]
Stratton,[3360.],[2018]
Stuartburn,[2676. 2906.],[2018 2019]
Stukely-Sud,[2626.],[2019]
Sturgeon County,[34717. 51795.],[2018 2019]
Sturgeon Falls,[ 34240. 210162. 196296.  19891.],[2007 2016 2018 2019]
"Sturgeon Falls, Ontario",[568608.],[2017]
Sturgeon falls,[5040.],[2018]
Sturgis,[31194.],[2019]
Success,[2832.],[2019]
