"Breslau, Ontario",[28728. 33561.]
Breton,[ 6528. 28600.]
Bridgenorth,[75000.  8400.  5979.]
Bridgeport,[9020. 9356.]
Bridgetown,[ 96558.   499999.96  50000.    76500.    28331.    48777.  ]
Bridgeville,[23573.]
Bridgewater,"[ 80466. 232472.  74339.  80434. 494875. 103654. 102335.  96907. 290029.
 112305.]"
Bridgwater,[47090. 47601.]
Brigham,[  4142. 106830.]
"Brigham, Quebec|Brigham, Québec",[50000.]
Bright,[13440.]
Bright's Grove,[16431.]
Brighton,[39158. 58444.]
"Brighton, Ontario",[10080.]
Brights Grove,[6720.]
Brigus,[48672. 55177.]
Bristol,[2882. 4840.]
Bristol Mines,[1260.]
Bristol's Hope,[1005. 1539.]
Britannia Beach,[9201. 8822.]
Britt,[24920.]
Broad Cove,[16937. 19037.]
Broadview,[6665. 6688.]
Brochet,[28942.]
Brocket,[292940.  23300. 213556.]
Brockville,"[ 536673.  471944. 1072724.  669588. 1295498. 4031330.  189636.  950611.
  324155. 1345582. 1410663.  182675.  100000.]"
"Brockville, Ontario",[1732210. 1283873.]
Broderick,[1316. 5974.]
Brome,[6587. 9587.]
Bromont,[ 30642. 124811.]
Brook Village,[3436.]
Brookfield,[17865. 27367.]
Brooklin,[31500. 40362.]
"Brooklin, Ontario",[37620.]
Brooklyn,[3095.]
Brooks,[314582. 232876. 193824. 162351. 431413. 185551. 242786.  65281. 128678.]
Brookside,[1155.]
Brossard,"[222327. 366837. 194037. 465869. 548275. 960776. 179743.  88370.  88553.
 396821. 452911. 853094.]"
"Brossard, Quebec|Brossard, Québec",[1512752.]
Brown's Arm,[3048. 3119.]
Brown's Flat,[3596.]
Brown's Yard,[5137.]
Browns Flat,[ 3514. 24995.]
Brownsburg-Chatham,[14454. 89042.]
Brownsburg-chatham,[19465.]
Brownsdale,[1005. 1368.]
Bruce Mines,[19354.     0.]
"Bruce Mines, Ontario",[33800.]
Bruce Peninsula,[1680.]
Brudenell,[3007. 1717.]
Bruderheim,[3264. 4200.]
Brule Point,[1619.]
Bruno,[50000. 33319.  1316. 15197.]
Brussels,[42895.  8400.]
Bryson,[4554. 9476.]
Brébeuf,[1440. 3500.]
Buchanan,[16218.]
Buchans,[11822. 15212.]
Buckhorn,[32329. 11392.]
Buckhorn Trent Lakes,[5670.]
Buckland,[1440. 3500.]
Buena Vista,[2631.]
Buffalo Narrows,[10039. 17461.]
Bulyea,[6579.]
Burford,[31855. 48051.  1680. 30500.]
Burgeo,[21053. 15402.]
Burin,[40078. 62867.]
Burin Bay Arm,[12688.]
"Burin, Newfoundland and Labrador|Burin, Terre-Neuve-et-Labrador",[50000.]
Burk's Falls,[ 3797. 20458.]
Burlington,"[ 173273.  755932. 1116898.  300236.  899790.  623124.  964028.  630935.
  566954.  636510.  895733. 2467437.  884718.]"
"Burlington, Ontario",[489436. 665880. 124207.]
Burnaby,"[ 2496474.  3398698.  4765456.  4721510.  3838957. 24559519.  1341275.
 11083795. 43004670. 11715045.  1578741. 11649377. 10531045.]"
"Burnaby, British Columbia|Burnaby, Colombie-Britannique",[1363991. 1164810.]
