prog_name_en,recipient_city,year,agreement_value
0,Minnedosa,2012,137256
0,Mirabel,2009,98911
0,Mirabel,2011,132866
0,Mirabel,2012,69082
0,Miramichi,2010,140710
0,Miramichi,2011,145561
0,Miramichi,2012,116651
0,Mission,2010,395872
0,Mission,2012,396149
0,Mississauga,2009,1717754
0,Mississauga,2010,1158351
0,Mississauga,2011,3796662
0,Mississauga,2012,1862936
0,Moncton,2009,1801831
0,Moncton,2010,1036072
0,Moncton,2011,1503305
0,Moncton,2012,1800270
0,Monetville,2010,50000
0,Mont St-Hilaire,2009,138507
0,Mont St-Hilaire,2012,108050
0,Mont-Joli,2009,26180
0,Mont-Joli,2010,32910
0,Mont-Laurier,2009,178509
0,Mont-Laurier,2011,201765
0,Mont-Laurier,2012,173631
0,Mont-Saint-Hilaire,2009,144874
0,Mont-Saint-Hilaire,2010,199682
0,Mont-Tremblant,2009,158970
0,Mont-Tremblant,2011,123981
0,Mont-Tremblant,2012,142426
0,Mont-saint-Hilaire,2009,114774
0,Montague,2010,114466
0,Montague,2011,27988
0,Montague,2012,142358
0,Montmagny,2009,90029
0,Montreal,2009,9513061
0,Montreal,2010,7419072
0,Montreal,2011,7889099
0,Montreal,2012,22498259
0,Montreal North,2012,68101
0,Montreal-Nord,2011,213601
0,Montreal-Nord,2012,78655
0,Montreal-North,2009,212152
0,Montreal-North,2010,95729
0,Montréal,2009,7977495
0,Montréal,2010,73525
0,Montréal-Nord,2012,179675
0,Mooretown,2011,75000
0,Moose Jaw,2009,238242
0,Moose Jaw,2010,238098
0,Moose Jaw,2011,95660
0,Moose Jaw,2012,184551
0,Morden,2011,28400
0,Morell,2010,82121
0,Morell,2012,179987
0,Morinville,2010,159323
0,Morris,2012,25710
0,Mount Currie,2009,300950
0,Mount Pearl,2009,28867
0,Mount Pearl,2010,99513
0,Mount Pearl,2011,126370
0,Mount Pearl,2012,87345
0,Mt Pearl,2009,60480
0,Mt Pearl,2011,60025
0,Mt-Elgin,2008,42000
